"ID"	"adj.P.Val"	"P.Value"	"t"	"B"	"logFC"	"Gene.symbol"	"Gene.title"
"AFFX-r2-Ec-bioC-3_at"	0.00173261743591274	3.65188133260868e-08	-15.4404261335953	8.65783191810983	-1.66159666666667	""	""
"AFFX-BioC-3_at"	0.00173261743591274	6.3378781377695e-08	-14.5570207652014	8.2544525871651	-1.79105166666666	""	""
"215058_at"	0.00188270071916001	1.20214088621327e-07	-13.5896719952918	7.76763316468083	-1.30144666666667	"DENND5B"	"DENN domain containing 5B"
"217299_s_at"	0.00188270071916001	1.54434335066421e-07	-13.2273608987019	7.57195805504873	-1.86799666666667	"NBN"	"nibrin"
"AFFX-r2-Ec-bioC-5_at"	0.00188270071916001	1.72171990778236e-07	-13.0728415354919	7.48614808824316	-1.78387666666666	""	""
"205609_at"	0.00207140335447456	2.64653506337806e-07	-12.4776092670136	7.14175461795683	-2.46522666666666	"ANGPT1"	"angiopoietin 1"
"223214_s_at"	0.00207140335447456	2.65200246571959e-07	-12.4748115851645	7.14008227053815	-1.83408666666666	"ZHX1"	"zinc fingers and homeoboxes 1"
"238932_at"	0.00226949042424102	3.53440244668619e-07	-12.0908397519278	6.90558386634973	-2.55712666666667	"TSC22D2"	"TSC22 domain family member 2"
"AFFX-BioC-5_at"	0.00226949042424102	4.06982176419841e-07	-11.9061448006048	6.78917738241836	-1.765755	""	""
"203896_s_at"	0.00226949042424102	4.15087411841064e-07	-11.8805238432741	6.77283920816627	-3.61157333333333	"PLCB4"	"phospholipase C beta 4"
"202820_at"	0.00265457368755487	5.3407060929316e-07	-11.557310881048	6.56265248659118	-1.82985166666666	"AHR"	"aryl hydrocarbon receptor"
"219001_s_at"	0.00288793941243514	6.34348082099459e-07	-11.3411040201239	6.4177241276719	-1.03174833333333	"DCAF10"	"DDB1 and CUL4 associated factor 10"
"212542_s_at"	0.00288793941243514	6.86661405791619e-07	-11.2427270456964	6.35059743555987	-3.21293166666667	"PHIP"	"pleckstrin homology domain interacting protein"
"210346_s_at"	0.0030727093914107	7.86793442702328e-07	-11.0754661744186	6.23473298854351	-2.15090666666666	"CLK4"	"CDC like kinase 4"
"233364_s_at"	0.0033243065498932	9.20639395927587e-07	-10.8851111951272	6.10015553428373	-3.33337833333333	""	""
"222473_s_at"	0.0033243065498932	9.72819475048766e-07	-10.8189847785197	6.05271553559818	-1.80561166666666	"ERBIN"	"erbb2 interacting protein"
"207108_s_at"	0.0035057355766246	1.34416315133973e-06	-10.4380584331329	5.77229928363414	-1.82669	"NIPBL"	"NIPBL, cohesin loading factor"
"228751_at"	0.0035057355766246	1.35473073390649e-06	-10.4289762920365	5.76546196017302	-2.29597666666667	"CLK4"	"CDC like kinase 4"
"240239_at"	0.0035057355766246	1.45189229274575e-06	-10.3489378655256	5.7048945485329	-1.22082666666667	"ZNF566"	"zinc finger protein 566"
"230403_at"	0.0035057355766246	1.46205579880261e-06	-10.3409060575639	5.69878556992973	-1.21679333333333	"RFX3"	"regulatory factor X3"
"203895_at"	0.0035057355766246	1.59245984444669e-06	-10.2429638211616	5.62383093546573	-3.36221666666666	"PLCB4"	"phospholipase C beta 4"
"224883_at"	0.0035057355766246	1.65796566129379e-06	-10.1970249668688	5.58837920756002	-1.15371666666667	"BLOC1S6"	"biogenesis of lysosomal organelles complex 1 subunit 6"
"232113_at"	0.0035057355766246	1.77600208866022e-06	-10.1190522628983	5.52777078226593	-3.32225	""	""
"218613_at"	0.0035057355766246	1.86725302557099e-06	-10.0625635540169	5.48351652772679	-1.60051	"PSD3"	"pleckstrin and Sec7 domain containing 3"
"232090_at"	0.0035057355766246	1.9293204002314e-06	-10.025840102393	5.4545898130806	-2.54604666666667	"DNM3OS"	"DNM3 opposite strand/antisense RNA"
"241874_at"	0.0035057355766246	1.93149155310666e-06	-10.0245789862928	5.45359423831906	-1.32099666666667	"IGIP"	"IgA inducing protein"
"235000_at"	0.0035057355766246	1.94844162897524e-06	-10.01478651328	5.44585867925197	-1.27281833333333	"LPP"	"LIM domain containing preferred translocation partner in lipoma"
"231716_at"	0.0035057355766246	2.01629289921998e-06	-9.97649937260699	5.41552862997647	-1.32487333333333	"RC3H2"	"ring finger and CCCH-type domains 2"
"205608_s_at"	0.0035057355766246	2.07498464183923e-06	-9.94450064934214	5.39007568319091	-2.52782833333333	"ANGPT1"	"angiopoietin 1"
"239679_at"	0.0035057355766246	2.10913685386738e-06	-9.9263332670791	5.37558220047195	-1.54531	""	""
"210645_s_at"	0.0035057355766246	2.15864665719582e-06	-9.90055984245963	5.35496782467667	-1.84909666666666	"TTC3P1///TTC3"	"tetratricopeptide repeat domain 3 pseudogene 1///tetratricopeptide repeat domain 3"
"235566_at"	0.0035057355766246	2.15868790790314e-06	-9.90053863898613	5.35495083984758	-2.21676166666667	"TMF1"	"TATA element modulatory factor 1"
"230578_at"	0.0035057355766246	2.21536618917782e-06	-9.87181623448959	5.3319042443337	-1.55972833333333	"ZNF471"	"zinc finger protein 471"
"225022_at"	0.0035057355766246	2.26209010423333e-06	-9.84873620553141	5.31332870991453	-1.68829166666667	"GOPC"	"golgi associated PDZ and coiled-coil motif containing"
"228393_s_at"	0.0035057355766246	2.36631916438582e-06	-9.79907648868221	5.27319000812472	-2.27895333333333	"ZNF302"	"zinc finger protein 302"
"206059_at"	0.0035057355766246	2.41563615790657e-06	-9.77640674830112	5.25478865876836	-3.02033666666667	"ZNF91"	"zinc finger protein 91"
"1553696_s_at"	0.0035057355766246	2.473425729548e-06	-9.75047773271838	5.23368151450147	-1.88897833333333	"ZNF569"	"zinc finger protein 569"
"238907_at"	0.0035057355766246	2.499643605815e-06	-9.73893189503043	5.22426206340477	-1.67915666666667	"ZNF780A"	"zinc finger protein 780A"
"226203_at"	0.0035057355766246	2.59794158402876e-06	-9.69679263145235	5.18977477441951	-1.46147833333333	"MYO9A"	"myosin IXA"
"1553275_s_at"	0.0035057355766246	2.66835263513499e-06	-9.66766593451272	5.16583693337977	-2.464695	""	""
"1556338_at"	0.0035057355766246	2.69410509985595e-06	-9.65722229579969	5.15723378116235	-2.07977	""	""
"235190_at"	0.0035057355766246	2.79610118286537e-06	-9.61690492590071	5.12392201989095	-2.22623	""	""
"204963_at"	0.0035057355766246	2.80950141352972e-06	-9.61172779039882	5.11963298600443	-1.68676333333333	"SSPN"	"sarcospan"
"202380_s_at"	0.0035057355766246	2.82125954040205e-06	-9.60720726120387	5.11588577941652	-1.90365	"NKTR"	"natural killer cell triggering receptor"
"204369_at"	0.00359297057908698	2.95717743134731e-06	-9.55639964851163	5.07363198469905	-2.09760333333333	"PIK3CA"	"phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha"
"208073_x_at"	0.00361826933114513	3.10935504639085e-06	-9.50245852780413	5.02849384821544	-1.79731333333333	"TTC3P1///TTC3"	"tetratricopeptide repeat domain 3 pseudogene 1///tetratricopeptide repeat domain 3"
"236477_at"	0.00361826933114513	3.11035498059115e-06	-9.5021137016139	5.02820436951699	-1.459775	"PRPF40A"	"pre-mRNA processing factor 40 homolog A"
"226334_s_at"	0.00399504399237268	3.50730885475791e-06	-9.37401909776041	4.91984844271275	-1.45945333333333	"AHSA2"	"AHA1, activator of heat shock 90kDa protein ATPase homolog 2 (yeast)"
"228495_at"	0.00416758197599975	3.78896842232389e-06	-9.29239094117536	4.84993539943074	-1.06068	"GPATCH11"	"G-patch domain containing 11"
"231858_x_at"	0.00416758197599975	3.81123180246891e-06	9.28622360327697	4.84462560241215	1.09138	"AP5B1"	"adaptor related protein complex 5 beta 1 subunit"
"36475_at"	0.00440372353931312	4.10772566081333e-06	9.20765277417873	4.77663787699363	0.92318166666667	"GCAT"	"glycine C-acetyltransferase"
"240557_at"	0.00453647023778883	4.452053697534e-06	-9.12383407714831	4.70340480591454	-2.33196833333333	"TSC22D2"	"TSC22 domain family member 2"
"225745_at"	0.00453647023778883	4.54182109948951e-06	-9.1031435257602	4.6852144487873	-1.34080333333333	"LRP6"	"LDL receptor related protein 6"
"236355_s_at"	0.00453647023778883	4.65594442033698e-06	-9.07747474385193	4.66258493275279	-1.82536	""	""
"218214_at"	0.00453647023778883	4.66626549784536e-06	9.07518726476462	4.66056493294459	0.893808333333336	"ATG101"	"autophagy related 101"
"208860_s_at"	0.00453647023778883	4.67967012300853e-06	-9.07222460715358	4.65794788473636	-2.34676	"ATRX"	"ATRX, chromatin remodeler"
"219164_s_at"	0.00453647023778883	4.80780966495716e-06	-9.04436266166769	4.63329084553174	-1.10960833333333	"ATG2B"	"autophagy related 2B"
"224600_at"	0.00453647023778883	4.82501743672811e-06	-9.04068295325673	4.63002827050351	-1.04558166666666	"CGGBP1"	"CGG triplet repeat binding protein 1"
"214683_s_at"	0.00453647023778883	4.99158351403565e-06	-9.00578812996255	4.59901775177589	-1.70966833333333	"CLK1"	"CDC like kinase 1"
"220044_x_at"	0.00453647023778883	5.12506695238665e-06	-8.97872943792816	4.57488190838594	-1.87351333333333	"LUC7L3"	"LUC7 like 3 pre-mRNA splicing factor"
